change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
432	G407-E2678	G407-S392	f77r	BIOLOGICAL	NONSTATE_CARD	qepchedy	CARRIER_Q+E+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und auf Grad I.	Setze den Stationsposten ein und bearbeite ihn; als neuen Einsatz und auf Grad I.	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
433	G407-E2686	G407-S392	f77r	BIOLOGICAL	NONSTATE_CARD	ches	CH+E+S	1	1	1	Entnimm denselben Stationswert und wähle denselben Stationswert; auf Grad I.	Entnimm denselben Stationswert und wähle ihn; auf Grad I.	Entnimm denselben Stationswert und wähle denselben Stationswert; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
434	G407-E2689	G407-S392	f77r	BIOLOGICAL	NONSTATE_CARD	chr	CH+R	1	1	1	Entnimm denselben Stationswert und markiere denselben Stationswert.	Entnimm denselben Stationswert und markiere ihn.	Entnimm denselben Stationswert und markiere denselben Stationswert.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
435	G407-E2697	G407-S392	f77r	BIOLOGICAL	NONSTATE_CARD	chlchpsheey	CH+L+CH+P+SH+EE+Y	1	3	3	Entnimm den Stationsposten, entnimm den Stationsposten, setze den Stationsposten ein und halte den Stationsposten; über die sichtbare Verbindung; auf Grad II.	Entnimm den Stationsposten, entnimm ihn, setze ihn ein und halte ihn; über die sichtbare Verbindung; auf Grad II.	Entnimm den Stationsposten, entnimm den Stationsposten, setze den Stationsposten ein und halte den Stationsposten; über die sichtbare Verbindung; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
436	G407-E2706	G407-S392	f77r	BIOLOGICAL	STATE_CARD	saiisol	S+A_ADDR+IIN+S+OL	1	1	1	Weiter: wähle denselben Stationsposten und wähle denselben Stationsposten; an der bezeichneten Stelle; auf der bezeichneten Stufe.	Weiter: wähle denselben Stationsposten und wähle ihn; an der bezeichneten Stelle; auf der bezeichneten Stufe.	Weiter: wähle denselben Stationsposten und wähle denselben Stationsposten; an der bezeichneten Stelle; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
437	G407-E2712	G407-S392	f77r	BIOLOGICAL	NONSTATE_CARD	sodar	S+O+DA+R	1	1	1	Wähle denselben Stationsposten und markiere denselben Stationsposten; als Ausführung und auf der zweiten Stufe.	Wähle denselben Stationsposten und markiere ihn; als Ausführung und auf der zweiten Stufe.	Wähle denselben Stationsposten und markiere denselben Stationsposten; als Ausführung und auf der zweiten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
438	G407-E2714	G407-S393	f81r	BIOLOGICAL	STATE_CARD	polchoy	P+OL+CH+O+Y	1	1	1	Weiter: setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	Weiter: setze den Stationsposten ein und entnimm ihn; als Ausführung.	Weiter: setze den Stationsposten ein und entnimm den Stationsposten; als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
439	G407-E2717	G407-S394	f81r	BIOLOGICAL	STATE_CARD	opchedy	O+P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; als Ausführung; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; als Ausführung; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
440	G407-E2718	G407-S395	f81r	BIOLOGICAL	STATE_CARD	olpchedy	OL+P+CHD+DY	1	1	1	Weiter: setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Weiter: setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Weiter: setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
441	G407-E2741	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
442	G407-E2755	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	eses	E+S+E+S	1	1	1	Wähle denselben Stationsanteil und wähle denselben Stationsanteil; auf Grad I und auf Grad I.	Wähle denselben Stationsanteil und wähle ihn; auf Grad I und auf Grad I.	Wähle denselben Stationsanteil und wähle denselben Stationsanteil; auf Grad I und auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
443	G407-E2760	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	dshees	D_ADDR+SH+EE+S	1	1	1	Halte denselben Stationsposten und wähle denselben Stationsposten; auf Grad II; an der bezeichneten Stelle.	Halte denselben Stationsposten und wähle ihn; auf Grad II; an der bezeichneten Stelle.	Halte denselben Stationsposten und wähle denselben Stationsposten; auf Grad II; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
444	G407-E2762	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
445	G407-E2765	G407-S397	f81r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsanteil ein und bearbeite denselben Stationsanteil; schließe den Schritt.	Setze denselben Stationsanteil ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsanteil ein und bearbeite denselben Stationsanteil; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
446	G407-E2774	G407-S400	f81r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
447	G407-E2783	G407-S402	f81r	BIOLOGICAL	STATE_CARD	sheckhedy	SH+E+CH+K+E+DY	1	2	2	Halte denselben Stationsposten und entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I und auf Grad I; schließe den Schritt.	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; auf Grad I und auf Grad I; schließe den Schritt.	Halte denselben Stationsposten und entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I und auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
448	G407-E2797	G407-S408	f81r	BIOLOGICAL	STATE_CARD	qokechedy	OK+E+CHD+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite ihn; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und bearbeite denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
449	G407-E2811	G407-S414	f81r	BIOLOGICAL	STATE_CARD	olpchedy	OL+P+CHD+DY	1	1	1	Weiter: setze dieselbe Stationseinheit ein und bearbeite dieselbe Stationseinheit; schließe den Schritt.	Weiter: setze dieselbe Stationseinheit ein und bearbeite sie; schließe den Schritt.	Weiter: setze dieselbe Stationseinheit ein und bearbeite dieselbe Stationseinheit; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
450	G407-E2815	G407-S415	f81r	BIOLOGICAL	NONSTATE_CARD	checthy	CH+T+Y	1	1	1	Entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten und stelle ihn ein.	Entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
451	G407-E2832	G407-S424	f81r	BIOLOGICAL	NONSTATE_CARD	qopchedy	CARRIER_Q+O+P+CHD+Y	1	1	1	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite ihn; als neuen Einsatz und als Ausführung.	Setze den Stationsposten ein und bearbeite den Stationsposten; als neuen Einsatz und als Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
452	G407-E2857	G407-S425	f81r	BIOLOGICAL	NONSTATE_CARD	sheckhy	SH+E+CH+K+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
453	G407-E2863	G407-S426	f81r	BIOLOGICAL	NONSTATE_CARD	shecphy	SH+E+CH+P+Y	1	2	2	Halte den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	Halte den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Halte den Stationsposten, entnimm den Stationsposten und setze den Stationsposten ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
454	G407-E2876	G407-S428	f81r	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
455	G407-E2882	G407-S430	f81r	BIOLOGICAL	NONSTATE_CARD	qcthdys	CH+T+D_ADDR+Y+S	1	2	2	Entnimm den Stationsposten, stelle den Stationsposten ein und wähle den Stationsposten; an der bezeichneten Stelle.	Entnimm den Stationsposten, stelle ihn ein und wähle ihn; an der bezeichneten Stelle.	Entnimm den Stationsposten, stelle den Stationsposten ein und wähle den Stationsposten; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
456	G407-E2888	G407-S432	f81r	BIOLOGICAL	NONSTATE_CARD	qokchedy	OK+CHD+Y	1	1	1	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	Setze den Stationsposten im Stationsgang an und bearbeite ihn.	Setze den Stationsposten im Stationsgang an und bearbeite den Stationsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
457	G407-E2889	G407-S432	f81r	BIOLOGICAL	STATE_CARD	qokesdy	OK+E+S+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und wähle denselben Stationsposten; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und wähle ihn; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und wähle denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
458	G407-E2901	G407-S434	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
459	G407-E2912	G407-S436	f81r	BIOLOGICAL	STATE_CARD	olkshdy	OL+K+SH+D_ADDR+Y	1	1	1	Weiter: führe den Stationsposten zu und halte den Stationsposten; an der bezeichneten Stelle.	Weiter: führe den Stationsposten zu und halte ihn; an der bezeichneten Stelle.	Weiter: führe den Stationsposten zu und halte den Stationsposten; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
460	G407-E2920	G407-S440	f81r	BIOLOGICAL	NONSTATE_CARD	ches	CH+E+S	1	1	1	Entnimm denselben Stationsposten und wähle denselben Stationsposten; auf Grad I.	Entnimm denselben Stationsposten und wähle ihn; auf Grad I.	Entnimm denselben Stationsposten und wähle denselben Stationsposten; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
461	G407-E2927	G407-S442	f81v	BIOLOGICAL	NONSTATE_CARD	shekal	SH+E+K+AL	1	1	1	Halte denselben Stationsposten und führe denselben Stationsposten zu; zur Zielstation; auf Grad I.	Halte denselben Stationsposten und führe ihn zu; zur Zielstation; auf Grad I.	Halte denselben Stationsposten und führe denselben Stationsposten zu; zur Zielstation; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
462	G407-E2931	G407-S442	f81v	BIOLOGICAL	STATE_CARD	pchedy	P+CHD+DY	1	1	1	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite ihn; schließe den Schritt.	Setze denselben Stationsposten ein und bearbeite denselben Stationsposten; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
463	G407-E2932	G407-S443	f81v	BIOLOGICAL	NONSTATE_CARD	shek	SH+E+K	1	1	1	Halte denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I.	Halte denselben Stationsposten und führe ihn zu; auf Grad I.	Halte denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
464	G407-E2934	G407-S443	f81v	BIOLOGICAL	NONSTATE_CARD	ofalsheky	O+LOCAL_CHAR_F+A_ADDR+L+SH+E+K+Y	1	1	1	Halte den Stationsposten und führe den Stationsposten zu; über die sichtbare Verbindung; als Ausführung und auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Stationsposten und führe ihn zu; über die sichtbare Verbindung; als Ausführung und auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Stationsposten und führe den Stationsposten zu; über die sichtbare Verbindung; als Ausführung und auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
465	G407-E2952	G407-S446	f81v	BIOLOGICAL	NONSTATE_CARD	shek	SH+E+K	1	1	1	Halte denselben Stationsanteil und führe denselben Stationsanteil zu; auf Grad I.	Halte denselben Stationsanteil und führe ihn zu; auf Grad I.	Halte denselben Stationsanteil und führe denselben Stationsanteil zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
466	G407-E2958	G407-S447	f81v	BIOLOGICAL	NONSTATE_CARD	cheeky	CH+K+EE+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	Entnimm den Stationsposten und führe ihn zu; auf Grad II.	Entnimm den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
467	G407-E2965	G407-S447	f81v	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
468	G407-E2969	G407-S447	f81v	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
469	G407-E2988	G407-S449	f81v	BIOLOGICAL	NONSTATE_CARD	sheckhal	SH+E+CH+K+AL	1	2	2	Halte dieselbe Stationseinheit, entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; zur Zielstation; auf Grad I.	Halte dieselbe Stationseinheit, entnimm sie und führe sie zu; zur Zielstation; auf Grad I.	Halte dieselbe Stationseinheit, entnimm dieselbe Stationseinheit und führe dieselbe Stationseinheit zu; zur Zielstation; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
470	G407-E2992	G407-S449	f81v	BIOLOGICAL	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den Stationsposten und führe den Stationsposten zu.	Entnimm den Stationsposten und führe ihn zu.	Entnimm den Stationsposten und führe den Stationsposten zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
471	G407-E3002	G407-S452	f81v	BIOLOGICAL	STATE_CARD	cphedy	CH+P+E+DY	1	1	1	Entnimm denselben Stationsanteil und setze denselben Stationsanteil ein; auf Grad I; schließe den Schritt.	Entnimm denselben Stationsanteil und setze ihn ein; auf Grad I; schließe den Schritt.	Entnimm denselben Stationsanteil und setze denselben Stationsanteil ein; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
472	G407-E3010	G407-S454	f81v	BIOLOGICAL	NONSTATE_CARD	checkhy	CH+E+CH+K+Y	1	2	2	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm den Stationsposten und führe den Stationsposten zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
473	G407-E3012	G407-S455	f81v	BIOLOGICAL	STATE_CARD	polshy	P+OL+SH+Y	1	1	1	Weiter: setze den Stationsposten ein und halte den Stationsposten.	Weiter: setze den Stationsposten ein und halte ihn.	Weiter: setze den Stationsposten ein und halte den Stationsposten.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
474	G407-E3013	G407-S455	f81v	BIOLOGICAL	NONSTATE_CARD	ashyteed	A_ADDR+SH+Y+T+EE+D_ADDR	1	1	1	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Stationsposten und stelle ihn ein; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	Halte den Stationsposten und stelle den Stationsposten ein; auf Grad II; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
475	G407-E3017	G407-S457	f81v	BIOLOGICAL	STATE_CARD	okshedy	OK+SH+E+DY	1	1	1	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte ihn; auf Grad I; schließe den Schritt.	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
476	G407-E3037	G407-S461	f81v	BIOLOGICAL	NONSTATE_CARD	chetedy	CH+E+T+E+D_ADDR+Y	1	1	1	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I und auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I; an der bezeichneten Stelle.	Entnimm den Stationsposten und stelle den Stationsposten ein; auf Grad I und auf Grad I; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
477	G407-E3041	G407-S462	f81v	BIOLOGICAL	NONSTATE_CARD	dchsed	D_ADDR+CH+S+E+D_ADDR	1	1	1	Entnimm denselben Stationsposten und wähle denselben Stationsposten; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm denselben Stationsposten und wähle ihn; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	Entnimm denselben Stationsposten und wähle denselben Stationsposten; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
478	G407-E3051	G407-S466	f81v	BIOLOGICAL	NONSTATE_CARD	sheeky	SH+EE+K+Y	1	1	1	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	Halte den Stationsposten und führe ihn zu; auf Grad II.	Halte den Stationsposten und führe den Stationsposten zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
479	G407-E3056	G407-S468	f81v	BIOLOGICAL	NONSTATE_CARD	lchpchdy	L+CH+P+CHD+Y	1	2	2	Entnimm den Stationsposten, setze den Stationsposten ein und bearbeite den Stationsposten; über die sichtbare Verbindung.	Entnimm den Stationsposten, setze ihn ein und bearbeite ihn; über die sichtbare Verbindung.	Entnimm den Stationsposten, setze den Stationsposten ein und bearbeite den Stationsposten; über die sichtbare Verbindung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
480	G407-E3061	G407-S468	f81v	BIOLOGICAL	NONSTATE_CARD	salshcthdy	S+A_ADDR+L+SH+CH+T+D_ADDR+Y	1	3	3	Wähle den Stationsposten, halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Wähle den Stationsposten, halte ihn, entnimm ihn und stelle ihn ein; über die sichtbare Verbindung; an der bezeichneten Stelle und an der bezeichneten Stelle.	Wähle den Stationsposten, halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung; an der bezeichneten Stelle und an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
