component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
OK+SH+E+DY	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · GRAD I · SCHLUSS	Setze; halte auf Grad I; schließe den Schritt.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL	okshedy	Setze den Stationsposten [wie zuvor] im Stationsgang an und halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH+E+Y	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · GRAD I · POSTEN	Setze den Posten; halte den Posten auf Grad I.	1	OBSERVED_EVENT_COUNT	HERBAL	okshey	Setze den Pflanzenposten im Arbeitsgang an und halte den Pflanzenposten; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH+O	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · AUSFÜHRUNG	Setze; halte als Ausführung.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	oksho	Trage den laufenden Eintrag [wie zuvor] ein und halte den laufenden Eintrag [wie zuvor] fest; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+SH+Y	T0_EXACT_OBSERVED	0	SETZEN · HALTEN · POSTEN	Setze den Posten; halte den Posten.	1	OBSERVED_EVENT_COUNT	HERBAL	qokshy	Setze den Pflanzenposten im Arbeitsgang an und halte den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+Y	T0_EXACT_OBSERVED	0	SETZEN · POSTEN	Setze den Posten.	59	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	oky	Trage den laufenden Eintrag ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OK+Y+L+D_ADDR+DY	T0_EXACT_OBSERVED	0	SETZEN · POSTEN · VERBINDUNG · HIER · SCHLUSS	Setze den Posten über die Verbindung hier; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qokylddy	Setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung; an der bezeichneten Stelle; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL	T0_EXACT_OBSERVED	0	FORTSETZEN	Weiter: Führe die bezeichnete Karte aus.	175	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	chol	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AIIN	T0_EXACT_OBSERVED	0	FORTSETZEN · WERT	Weiter: Wert.	13	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	olaiin	Weiter im laufenden Gang setze den Arbeitswert im Arbeitsgang an.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AIIN+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · WERT · POSTEN	Weiter: Wert des Postens.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olaiiny	Weiter im laufenden Gang halte den Stationswert und den Stationsposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AIN	T0_EXACT_OBSERVED	0	FORTSETZEN · ANTEIL	Weiter: Anteil.	7	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA|SOURCE_SECTION_T	oldain	Weiter im laufenden Gang halte den Teilwert fest.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AL	T0_EXACT_OBSERVED	0	FORTSETZEN · ZIELORT	Weiter: Am Zielort.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	qolal	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AL+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · ZIELORT · POSTEN	Weiter: Am Zielort: Posten.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olsaly	Weiter im laufenden Gang stelle den Stationsposten ein; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AM_ADDR	T0_EXACT_OBSERVED	0	FORTSETZEN · HIER	Weiter: Hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olam	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor]; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+AR	T0_EXACT_OBSERVED	0	FORTSETZEN · AUSGANG	Weiter: Vom Ausgang.	1	OBSERVED_EVENT_COUNT	CELESTIAL	olar	Weiter im laufenden Gang setze den Positionswert [wie zuvor]; von der Ausgangsposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CARRIER_Q+O	T0_EXACT_OBSERVED	0	FORTSETZEN · BEGINNMARKER · AUSFÜHRUNG	Weiter: Beginne den bezeichneten Gang.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olqo	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor]; als neuen Einsatz und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CH+E+O+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · SCHLUSS	Weiter: Nimm auf Grad I als Ausführung; schließe den Schritt.	3	OBSERVED_EVENT_COUNT	CELESTIAL|PHARMA	olcheor	Weiter nimm den Positionsposten [wie zuvor] auf; auf Grad I und als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CH+EE+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · NEHMEN · GRAD II · SCHLUSS	Weiter: Nimm auf Grad II; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olcheedy	Weiter entnimm den Stationsanteil [wie zuvor]; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CH+T+D_ADDR+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · NEHMEN · EINSTELLEN · HIER · POSTEN	Weiter: Nimm den Posten; stelle den Posten ein hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olcthdy	Weiter entnimm den Stationsposten und stelle den Stationsposten ein; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CH+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · NEHMEN · POSTEN	Weiter: Nimm den Posten.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	olchy	Weiter entnimm den Stationsposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+CHD+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · BEARBEITEN · SCHLUSS	Weiter: Bearbeite; schließe den Schritt.	13	OBSERVED_EVENT_COUNT	BIOLOGICAL	olchedy	Weiter bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+DA+L	T0_EXACT_OBSERVED	0	FORTSETZEN · ZWEITE STUFE · VERBINDUNG	Weiter: Über die Verbindung auf der zweiten Stufe.	1	OBSERVED_EVENT_COUNT	PHARMA	oldal	Weiter im laufenden Gang halte den Mengenwert [wie zuvor]; über die Gefäßverbindung; auf der zweiten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · SCHLUSS	Weiter: Schließe den Schritt.	18	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	oldy	Weiter im laufenden Gang setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+D_ADDR+AIIN	T0_EXACT_OBSERVED	0	FORTSETZEN · HIER · WERT	Weiter: Wert hier.	3	OBSERVED_EVENT_COUNT	PHARMA	oldaiin	Weiter im laufenden Gang gib den Mengenwert zu; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+D_ADDR+AIR	T0_EXACT_OBSERVED	0	FORTSETZEN · HIER · BAHN	Weiter: Entlang der Bahn hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	oldair	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; entlang der Stationsbahn; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+D_ADDR+CH+K+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · HIER · NEHMEN · GEBEN · POSTEN	Weiter: Nimm den Posten; gib den Posten hier.	1	OBSERVED_EVENT_COUNT	HERBAL	oldckhy	Weiter nimm den Pflanzenposten und gib den Pflanzenposten zu; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+E+OR	T0_EXACT_OBSERVED	0	FORTSETZEN · GRAD I · EINHEIT	Weiter: Einheit auf Grad I.	1	OBSERVED_EVENT_COUNT	CELESTIAL	cheolor	Weiter im laufenden Gang stelle die Positionseinheit ein; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+EEE+D_ADDR	T0_EXACT_OBSERVED	0	FORTSETZEN · GRAD III · HIER	Weiter: Auf Grad III hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oleeed	Weiter im laufenden Gang halte den Stationsanteil [wie zuvor]; auf Grad III; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+AIIN	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · WERT	Weiter: Gib den Wert.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	olkaiin	Weiter führe den Stationswert zu.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+AIN	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · ANTEIL	Weiter: Gib den Anteil.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	qolkain	Weiter führe den Stationsanteil zu.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+AL	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · ZIELORT	Weiter: Gib am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olkal	Weiter führe den Stationsposten [wie zuvor] zu; zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+AR	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · AUSGANG	Weiter: Gib vom Ausgang.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	olkar	Weiter führe den Stationsanteil [wie zuvor] zu; von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+AR+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · AUSGANG · POSTEN	Weiter: Gib den Posten vom Ausgang.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qolkary	Weiter führe den Stationsposten zu; von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+CHD+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · BEARBEITEN · POSTEN	Weiter: Gib den Posten; bearbeite den Posten.	1	OBSERVED_EVENT_COUNT	HERBAL	olkchdy	Weiter gib den Pflanzenposten zu und bearbeite den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+E+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD I · SCHLUSS	Weiter: Gib auf Grad I; schließe den Schritt.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL	olkedy	Weiter führe den Stationsanteil [wie zuvor] zu; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+E+OL	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD I · FORTSETZEN	Weiter und Weiter: Gib auf Grad I.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	olsheol	Weiter und weiter führe den Stationsposten [wie zuvor] zu; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+E+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD I · POSTEN	Weiter: Gib den Posten auf Grad I.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	solkey	Weiter führe den Stationsposten zu; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+EE+CH+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD II · NEHMEN · POSTEN	Weiter: Gib den Posten; nimm den Posten auf Grad II.	1	OBSERVED_EVENT_COUNT	HERBAL	olkeechy	Weiter gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+EE+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD II · SCHLUSS	Weiter: Gib auf Grad II; schließe den Schritt.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	olkeedy	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD II · HIER · POSTEN	Weiter: Gib den Posten auf Grad II hier.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	qolkeedy	Weiter führe den Stationsposten zu; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+EE+OL+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD II · FORTSETZEN · POSTEN	Weiter und Weiter: Gib den Posten auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qolkeeoly	Weiter und weiter führe den Stationsposten zu; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+EE+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · GRAD II · POSTEN	Weiter: Gib den Posten auf Grad II.	8	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	olkeey	Weiter führe den Stationsposten zu; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+SH+D_ADDR+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · HALTEN · HIER · POSTEN	Weiter: Gib den Posten; halte den Posten hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olkshdy	Weiter führe den Stationsposten zu und halte den Stationsposten; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+K+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · GEBEN · POSTEN	Weiter: Gib den Posten.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	olky	Weiter führe den Stationsposten zu.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+L+CH+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · VERBINDUNG · NEHMEN · POSTEN	Weiter: Nimm den Posten über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ollchy	Weiter entnimm den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+O+AM_ADDR	T0_EXACT_OBSERVED	0	FORTSETZEN · AUSFÜHRUNG · HIER	Weiter: Hier.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	olom	Weiter im laufenden Gang nimm den Materialanteil [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+O+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · AUSFÜHRUNG · SCHLUSS	Weiter: Schließe den Schritt.	1	OBSERVED_EVENT_COUNT	HERBAL	olody	Weiter im laufenden Gang gib die Arbeitseinheit [wie zuvor] zu; als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+O+IIN	T0_EXACT_OBSERVED	0	FORTSETZEN · AUSFÜHRUNG · STUFE	Weiter: Auf der bezeichneten Stufe.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qoloin	Weiter im laufenden Gang setze die Stationseinheit [wie zuvor] im Stationsgang an; als Ausführung und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+OK+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · SETZEN · POSTEN	Weiter: Setze den Posten.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oloky	Weiter setze den Stationsposten im Stationsgang an.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+OL	T0_EXACT_OBSERVED	0	FORTSETZEN · FORTSETZEN	Weiter und Weiter: Führe die bezeichnete Karte aus.	2	OBSERVED_EVENT_COUNT	CELESTIAL	olol	Weiter und weiter im laufenden Gang wähle den Positionswert [wie zuvor].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+OR	T0_EXACT_OBSERVED	0	FORTSETZEN · EINHEIT	Weiter: Einheit.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	cholor	Weiter im laufenden Gang nimm die Arbeitseinheit.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+P	T0_EXACT_OBSERVED	0	FORTSETZEN · EINSETZEN	Weiter: Setze ein.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	qolp	Weiter setze den Stationsposten [wie zuvor] ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+P+CHD+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · EINSETZEN · BEARBEITEN · SCHLUSS	Weiter: Setze ein; bearbeite; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	olpchedy	Weiter setze den Stationsposten [wie zuvor] ein und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+S	T0_EXACT_OBSERVED	0	FORTSETZEN · WÄHLEN	Weiter: Wähle.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|SOURCE_SECTION_T	ols	Weiter wähle den Kennwert [wie zuvor].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+S+AIN	T0_EXACT_OBSERVED	0	FORTSETZEN · WÄHLEN · ANTEIL	Weiter: Wähle den Anteil.	1	OBSERVED_EVENT_COUNT	HERBAL	olsain	Weiter wähle den Materialanteil.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+SH+E+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · HALTEN · GRAD I · SCHLUSS	Weiter: Halte auf Grad I; schließe den Schritt.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL	olshedy	Weiter halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+SH+E+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · HALTEN · GRAD I · POSTEN	Weiter: Halte den Posten auf Grad I.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	solshey	Weiter halte den Stationsposten; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+SH+EE+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · HALTEN · GRAD II · SCHLUSS	Weiter: Halte auf Grad II; schließe den Schritt.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	olsheedy	Weiter halte den Stationsanteil [wie zuvor]; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+SH+EE+D_ADDR	T0_EXACT_OBSERVED	0	FORTSETZEN · HALTEN · GRAD II · HIER	Weiter: Halte auf Grad II hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	olsheed	Weiter halte den Stationsposten [wie zuvor]; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+T+E+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · EINSTELLEN · GRAD I · SCHLUSS	Weiter: Stelle ein auf Grad I; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	oltedy	Weiter stelle den Stationsanteil [wie zuvor] ein; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+T+EE+DY	T0_EXACT_OBSERVED	0	FORTSETZEN · EINSTELLEN · GRAD II · SCHLUSS	Weiter: Stelle ein auf Grad II; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	solteedy	Weiter stelle den Stationsposten [wie zuvor] ein; auf Grad II; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+T+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · EINSTELLEN · POSTEN	Weiter: Stelle den Posten ein.	1	OBSERVED_EVENT_COUNT	HERBAL	oltchy	Weiter stelle den Pflanzenposten ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OL+Y	T0_EXACT_OBSERVED	0	FORTSETZEN · POSTEN	Weiter: Posten.	31	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	choly	Weiter im laufenden Gang nimm den Pflanzenposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR	T0_EXACT_OBSERVED	0	EINHEIT	Einheit.	46	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	or	Im laufenden Gang ordne die Eintragseinheit zu.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+AIIN	T0_EXACT_OBSERVED	0	EINHEIT · WERT	Einheit des Werts.	3	OBSERVED_EVENT_COUNT	CELESTIAL|HERBAL|PHARMA	oraiin	Im laufenden Gang wähle die Arbeitseinheit und den Arbeitswert.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+AIN	T0_EXACT_OBSERVED	0	EINHEIT · ANTEIL	Einheit des Anteils.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL	orain	Im laufenden Gang stelle die Arbeitseinheit und den Materialanteil ein.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+AIN+S+Y	T0_EXACT_OBSERVED	0	EINHEIT · ANTEIL · WÄHLEN · POSTEN	Wähle die Einheit, den Anteil und den Posten.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oraisy	Wähle die Stationseinheit, den Stationsanteil und den Stationsposten.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+AL	T0_EXACT_OBSERVED	0	EINHEIT · ZIELORT	Einheit am Zielort.	1	OBSERVED_EVENT_COUNT	CELESTIAL	oral	Im laufenden Gang halte die Positionseinheit; zur Zielposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+AL+Y	T0_EXACT_OBSERVED	0	EINHEIT · ZIELORT · POSTEN	Einheit und Posten am Zielort.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL	oraly	Im laufenden Gang wähle die Positionseinheit und den Positionsposten; zur Zielposition.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+CH+OR	T0_EXACT_OBSERVED	0	EINHEIT · NEHMEN · EINHEIT	Nimm die Einheit und die Einheit.	1	OBSERVED_EVENT_COUNT	PHARMA	orchor	Nimm die Ansatzeinheit [außen] und die Ansatzeinheit [innen].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+LOCAL_CHAR_I+AIIN	T0_EXACT_OBSERVED	0	EINHEIT · VARIANTE · WERT	Einheit des Werts mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oraiiin	Im laufenden Gang wähle die Stationseinheit und den Stationswert; mit der lokalen Variante.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+O	T0_EXACT_OBSERVED	0	EINHEIT · AUSFÜHRUNG	Führe die Einheit aus.	1	OBSERVED_EVENT_COUNT	HERBAL	oro	Im laufenden Gang nimm die Arbeitseinheit; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
OR+OR	T0_EXACT_OBSERVED	0	EINHEIT · EINHEIT	Äußere Einheit; innere Einheit.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	oror	Im laufenden Gang setze die Stationseinheit [außen] und die Stationseinheit [innen] im Stationsgang an.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
