unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
212	f68r1	f68r1.22	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_14	1	ofcheor	CHEO	Bedingungs-, Tabellen- oder Wahlansatz	Wähle diesen gezeichneten Sternplatz: Bedingungs-, Tabellen- oder Wahlansatz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
213	f68r1	f68r1.23	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_15	1	otchdy	OT+CHD	den folgenden Platz uebertragen und den Eintrag schliessen	Wähle diesen gezeichneten Sternplatz: den folgenden Platz uebertragen und den Eintrag schliessen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
214	f68r1	f68r1.24	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_16	1	otykchs	OT+KCH	Folge + Bearbeiten	Wähle diesen gezeichneten Sternplatz: Folge + Bearbeiten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
215	f68r1	f68r1.25	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_17	1	otol	OT+OL	danach im selben Ring oder Band fortsetzen	Wähle diesen gezeichneten Sternplatz: danach im selben Ring oder Band fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
216	f68r1	f68r1.26	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_18	1	otor	OT+OR	nächster Satz	Wähle diesen gezeichneten Sternplatz: nächster Satz. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
217	f68r1	f68r1.27	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_19	1	oiinar	IIN+AR	Stufe mit Quellenbezug	Wähle diesen gezeichneten Sternplatz: Stufe mit Quellenbezug. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
218	f68r1	f68r1.28	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_20	1	okoldy	OK+OL+DY_BOUND	Fortsetzung aktivieren und festhalten	Wähle diesen gezeichneten Sternplatz: Fortsetzung aktivieren und festhalten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
219	f68r1	f68r1.29	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_21	1	ykchdy	YK+KCH	bezeichnete Klasse oder Haus + KCH	Wähle diesen gezeichneten Sternplatz: bezeichnete Klasse oder Haus + KCH. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
220	f68r1	f68r1.30	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_22	1	oeeody	EE+OD+Y	diesen Posten in langer Stufe eintragen	Wähle diesen gezeichneten Sternplatz: diesen Posten in langer Stufe eintragen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
221	f68r1	f68r1.31	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_23	1	ocphy	O+CPH_ASTRO+Y	aktuelle Grundauswahl	Wähle diesen gezeichneten Sternplatz: aktuelle Grundauswahl. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
222	f68r1	f68r1.32	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_24	1	okeeodal	OK+EE+OD+AL	markiertes Ziel länger aktivieren	Wähle diesen gezeichneten Sternplatz: markiertes Ziel länger aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
223	f68r1	f68r1.33	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_25	1	okshor	OK+HO	Aktivieren + Eingangsposten	Wähle diesen gezeichneten Sternplatz: Aktivieren + Eingangsposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
224	f68r1	f68r1.34	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_26	1	osdaiin	OS+AIIN	Feld-Sollwert	Wähle diesen gezeichneten Sternplatz: Feld-Sollwert. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
225	f68r1	f68r1.35	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_27	1	otochedy	OT+CHD	Folge + Umsetzen	Wähle diesen gezeichneten Sternplatz: Folge + Umsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
226	f68r1	f68r1.36	ASTRO_LOCUS	F68_LOCAL_STAR_SLOT_NS::A2_STAR_STATION_28	1	dolchedy	OL+CHD	Fortsetzen + Umsetzen	Wähle diesen gezeichneten Sternplatz: Fortsetzen + Umsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
227	f68r1	f68r1.37	ASTRO_LOCUS	F68_CENTRAL_LEGEND_QUARANTINE_NS::A2_CENTRAL_LEGEND_UNRESOLVED	5	oky okchdy okardy qear oygy	OK | KCH | OK+AR+DY_BOUND | AR | O+G+Y	diesen Diagrammposten setzen; Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; Quelle aktivieren und Auswahl festhalten; Ausgangssektor, Ursprung oder Bezugswert; aktueller Grundgrad	Kopiere diesen Hinweis separat und lasse seine Zuordnung offen: diesen Diagrammposten setzen; Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; Quelle aktivieren und Auswahl festhalten; Ausgangssektor, Ursprung oder Bezugswert; aktueller Grundgrad. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
228	f69v	f69v.1	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_WHEEL_RING_TEXT	40	dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char	AIR | CHEEY+YK | OT | AR | AR | AR | OK+SH | AR | CH+T+OD+Y | OK+EE+OS | O | T+Y | OT+OK+EEE | OK+EE+OD+Y | OK | D+O+IIR | EE | NONE | NONE | OT | NONE | OK | CH+S+DY | OK+E+OD | NONE | NONE | HO+AIIN | OK+AR | OK+AR | HO | EE | YT | OD+AIR | OT | OT+EE | AR | O | E+YK+E+OD+Y | HO | AR	Lauf/Bahn; Ablesewert der Klasse/des Hauses; naechster Platz oder folgende Bedingung; Quelle; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; aktivieren und halten; Ausgangssektor, Ursprung oder Bezugswert; aktuellen Phasen-Zustand eintragen; zweites Feld aktivieren; Grundwert; aktuelle Phase; nächsten Posten vollständig aktivieren; diesen Posten länger aktivieren und eintragen; in langer Stufe setzen; fester Grundindex; lange Tabellenstufe; dieser lokale Diagrammposten; dieser lokale Diagrammposten; naechster Platz oder folgende Bedingung; dieser lokale Diagrammposten; Diagrammposten setzen oder aktivieren; sekundären Zustand festhalten; kurz aktivieren und markieren; dieser lokale Diagrammposten; dieser lokale Diagrammposten; Eingangsposten mit Sollwert; Quelle aktivieren; Quelle aktivieren; im selben Ring oder Band fortsetzen; lange Tabellenstufe; bezeichneter Platz oder Phase; Lauf oder Bahn markieren; Teilsektor oder Untereintrag; nächste lange Stufe; Quelle; Grundwert; Klassenposten in kurzer Stufe markieren; Bedingungs-, Tabellen- oder Wahlansatz; Quelle	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Lauf/Bahn; Ablesewert der Klasse/des Hauses; naechster Platz oder folgende Bedingung; Quelle; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; aktivieren und halten; Ausgangssektor, Ursprung oder Bezugswert; aktuellen Phasen-Zustand eintragen; zweites Feld aktivieren; Grundwert; aktuelle Phase; nächsten Posten vollständig aktivieren; diesen Posten länger aktivieren und eintragen; in langer Stufe setzen; fester Grundindex; lange Tabellenstufe; dieser lokale Diagrammposten; dieser lokale Diagrammposten; naechster Platz oder folgende Bedingung; dieser lokale Diagrammposten; Diagrammposten setzen oder aktivieren; sekundären Zustand festhalten; kurz aktivieren und markieren; dieser lokale Diagrammposten; dieser lokale Diagrammposten; Eingangsposten mit Sollwert; Quelle aktivieren; Quelle aktivieren; im selben Ring oder Band fortsetzen; lange Tabellenstufe; bezeichneter Platz oder Phase; Lauf oder Bahn markieren; Teilsektor oder Untereintrag; nächste lange Stufe; Quelle; Grundwert; Klassenposten in kurzer Stufe markieren; Bedingungs-, Tabellen- oder Wahlansatz; Quelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
229	f69v	f69v.2	ASTRO_LOCUS	F69_MIDDLE_WHEEL_NS::A3_MIDDLE_WHEEL_RING_TEXT	38	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	YK | HO | YK+AR | AL | YK | OK+EE+OR | CHEEY | HO | YK+AL | CHEO | AR+AM | CKH | NONE | AIIN | NONE | AL | CHEO | AL | SEL+T+Y | AR | NONE | NONE | YK | CH | NONE | NONE | HO | YK+AR | OL | NONE | YK+EE+OD+Y | NONE | AL | OD+Y | AIR | HO | Y+CHEEY | NONE	bezeichnete Klasse oder Haus; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; Ziel; bezeichnete Klasse oder Haus; Tabellensatz länger aktivieren; sichtbares Ergebnis / Ablesewert; im selben Ring, Band oder Satz fortsetzen; bezeichnete Klasse oder Haus + AL; Ablesewert; Quellaspekt; durch Sektor, Ring oder Pruefweg fuehren; diese Position laenger halten; Sollwert oder Grad des bezeichneten Himmelsplatzes; dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld; Ablesewert fest; Ziel; ausgewählte aktuelle Phase; Quelle; dieser lokale Diagrammposten; dieser lokale Diagrammposten; bezeichnete Klasse oder Haus; Zustand; dieser lokale Diagrammposten; dieser lokale Diagrammposten; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; im selben Ring oder Band fortsetzen; dieser lokale Diagrammposten; diesen Klassenposten länger markieren; dieser lokale Diagrammposten; Ziel; diesen Posten eintragen; Himmels-, Ring- oder Zeigerlauf; diesen Diagrammposten setzen; aktueller Ablesewert; dieser lokale Diagrammposten	Lies diesen sichtbaren Posten nur im gewählten Rad: bezeichnete Klasse oder Haus; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; Ziel; bezeichnete Klasse oder Haus; Tabellensatz länger aktivieren; sichtbares Ergebnis / Ablesewert; im selben Ring, Band oder Satz fortsetzen; bezeichnete Klasse oder Haus + AL; Ablesewert; Quellaspekt; durch Sektor, Ring oder Pruefweg fuehren; diese Position laenger halten; Sollwert oder Grad des bezeichneten Himmelsplatzes; dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld; Ablesewert fest; Ziel; ausgewählte aktuelle Phase; Quelle; dieser lokale Diagrammposten; dieser lokale Diagrammposten; bezeichnete Klasse oder Haus; Zustand; dieser lokale Diagrammposten; dieser lokale Diagrammposten; im selben Ring oder Band fortsetzen; bezeichnete Klasse oder Haus + AR; im selben Ring oder Band fortsetzen; dieser lokale Diagrammposten; diesen Klassenposten länger markieren; dieser lokale Diagrammposten; Ziel; diesen Posten eintragen; Himmels-, Ring- oder Zeigerlauf; diesen Diagrammposten setzen; aktueller Ablesewert; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
230	f69v	f69v.3	ASTRO_LOCUS	F69_RIGHT_WHEEL_NS::A3_RIGHT_WHEEL_RING_TEXT	29	doair otaldal dair chdy otoar ar chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteeser dair chey okody dal oteey oteey	AIR | OT+AL+AL | AIR | CHD | OT+AR | AR | NONE | OT+E+OR | HO | OT+AIR | CHD | OT+EE+AL | CHEO | AR | AIR | OT+E+OD+Y | YT+TY | A | D+CH+Y | OT+OL+Y | OK+E+OD+AL | OT+AR+AR | EE | AIR | NONE | OK+OD+Y | AL | OT | OT	Himmels-, Ring- oder Zeigerlauf; nächsten Doppelziel-Eintrag setzen; Lauf/Bahn; auf den bezeichneten Diagrammplatz uebertragen; nächste Quelle; Ausgangssektor, Ursprung oder Bezugswert; dieser lokale Diagrammposten; nächsten Satz kurz nehmen; Eingangsposten oder Zutat; nächster Lauf; Wert oder Platzbezug uebertragen; am nächsten Ziel länger halten; Bedingungs-, Tabellen- oder Wahlansatz; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; den nächsten Posten kurz markieren; bezeichneter Platz oder Phase + TY; Hauptwert; fester aktueller Zustand; diese Fortsetzung als nächste nehmen; markiertes Ziel kurz aktivieren; Folge + Quelle + Quelle; lange Tabellenstufe; Lauf/Bahn; dieser lokale Diagrammposten; diesen markierten Posten aktivieren; Ziel; naechster Diagrammposten in langer Stufe; naechster Diagrammposten in langer Stufe	Lies diesen sichtbaren Posten nur im gewählten Rad: Himmels-, Ring- oder Zeigerlauf; nächsten Doppelziel-Eintrag setzen; Lauf/Bahn; auf den bezeichneten Diagrammplatz uebertragen; nächste Quelle; Ausgangssektor, Ursprung oder Bezugswert; dieser lokale Diagrammposten; nächsten Satz kurz nehmen; Eingangsposten oder Zutat; nächster Lauf; Wert oder Platzbezug uebertragen; am nächsten Ziel länger halten; Bedingungs-, Tabellen- oder Wahlansatz; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; den nächsten Posten kurz markieren; bezeichneter Platz oder Phase + TY; Hauptwert; fester aktueller Zustand; diese Fortsetzung als nächste nehmen; markiertes Ziel kurz aktivieren; Folge + Quelle + Quelle; lange Tabellenstufe; Lauf/Bahn; dieser lokale Diagrammposten; diesen markierten Posten aktivieren; Ziel; naechster Diagrammposten in langer Stufe; naechster Diagrammposten in langer Stufe. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
231	f69v	f69v.4	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_01	2	okeey sar	OK | AR	in langer Stufe setzen; Quelle	Wähle diesen sichtbaren Platz des linken 28er-Inventars: in langer Stufe setzen; Quelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
232	f69v	f69v.5	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_02	2	okeo dy	OK | NONE	Diagrammposten setzen oder aktivieren; dieser lokale Diagrammposten	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Diagrammposten setzen oder aktivieren; dieser lokale Diagrammposten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
233	f69v	f69v.6	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_03	1	ochoyk	HO	Himmelsobjekt oder Eingangsbedingung	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Himmelsobjekt oder Eingangsbedingung. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
234	f69v	f69v.7	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_04	1	ykeey	YK	bezeichnete Klasse oder Haus	Wähle diesen sichtbaren Platz des linken 28er-Inventars: bezeichnete Klasse oder Haus. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
235	f69v	f69v.8	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_05	1	ytory	YT+OR	bezeichneter Platz oder Phase + OR	Wähle diesen sichtbaren Platz des linken 28er-Inventars: bezeichneter Platz oder Phase + OR. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
236	f69v	f69v.9	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_06	1	oeesy	EE+Y	diesen Posten länger halten	Wähle diesen sichtbaren Platz des linken 28er-Inventars: diesen Posten länger halten. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
237	f69v	f69v.10	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_07	1	ytody	YT+OD+Y	diesen Platz eintragen	Wähle diesen sichtbaren Platz des linken 28er-Inventars: diesen Platz eintragen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
238	f69v	f69v.11	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_08	1	okody	OK+OD+Y	diesen markierten Posten aktivieren	Wähle diesen sichtbaren Platz des linken 28er-Inventars: diesen markierten Posten aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
239	f69v	f69v.12	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_09	1	otody	OT+OD+Y	den nächsten Posten markieren	Wähle diesen sichtbaren Platz des linken 28er-Inventars: den nächsten Posten markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
240	f69v	f69v.13	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_10	1	okeal	OK+E+AL	Ziel kurz aktivieren	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Ziel kurz aktivieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
241	f69v	f69v.14	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_11	1	okeod	OK+E+OD	kurz aktivieren und markieren	Wähle diesen sichtbaren Platz des linken 28er-Inventars: kurz aktivieren und markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
242	f69v	f69v.15	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_12	1	oteeys	OT+EE	nächste lange Stufe	Wähle diesen sichtbaren Platz des linken 28er-Inventars: nächste lange Stufe. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
243	f69v	f69v.16	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_13	1	oteol	OT+E+OL	als nächstes kurz fortsetzen	Wähle diesen sichtbaren Platz des linken 28er-Inventars: als nächstes kurz fortsetzen. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
244	f69v	f69v.17	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_14	1	ykeydy	YK	bezeichnete Klasse oder Haus	Wähle diesen sichtbaren Platz des linken 28er-Inventars: bezeichnete Klasse oder Haus. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
245	f69v	f69v.18	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_15	1	okeod	OK+E+OD	kurz aktivieren und markieren	Wähle diesen sichtbaren Platz des linken 28er-Inventars: kurz aktivieren und markieren. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
246	f69v	f69v.19	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_16	1	saral	AR+AL	von Quelle zum Ziel	Wähle diesen sichtbaren Platz des linken 28er-Inventars: von Quelle zum Ziel. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
247	f69v	f69v.20	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_17	1	saiir	S+A+IIR	Hauptindex des Nebenfelds	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Hauptindex des Nebenfelds. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
248	f69v	f69v.21	ASTRO_LOCUS	F69_LEFT_WHEEL_NS::A3_LEFT_RADIAL_SLOT_18	1	okolar	OK+OL+AR	Aktivieren + Fortsetzen + Quelle	Wähle diesen sichtbaren Platz des linken 28er-Inventars: Aktivieren + Fortsetzen + Quelle. Notiere das Ergebnis als lokalen Wert dieser Adresse.	DIREKTE_SICHTADRESSE__KEINE_ERFUNDENE_REIHENFOLGE	KEIN_F68_F69_SCHLUESSEL__MEISTER_KANN_WERTE_IM_AUFTRAG_ZUSAMMENSTELLEN
